gen,avg_fitness,std_fitness,best_of_gen
7,12756830.851076627,500882.3142870319,13270035.522689087
8,12724435.998528535,714478.214110465,13270035.522689087
9,12599749.251740307,741977.7438443778,13270035.522689087
10,12554666.360651335,726653.648517023,13270035.522689087
11,12578732.827570833,670117.9522895898,13270035.522689087
12,12624968.285295054,481762.6860522456,13270035.522689087
13,12682572.386297885,481864.29465530225,13270035.522689087
14,12688136.047672365,731566.4812722915,13270035.522689087
15,12756887.567156978,531894.6618400572,13270035.522689087
16,12517256.400723586,1004111.2120257892,13270035.522689087
17,12418911.039993007,851717.7752871644,13326171.585290074
18,12373060.653259275,930172.3836247196,13326171.585290074
19,12610670.178844845,703115.8783145744,13326171.585290074
20,12876668.419590168,413788.38670723076,13326171.585290074
21,12627815.33594992,1000061.8867879559,13508021.608392956
22,13085811.876329813,288373.73596029525,13508021.608392956
23,12858497.60525426,668973.7649803633,13508021.608392956
24,12955103.64027566,490847.53646304883,13508021.608392956
25,12800102.557706993,779435.3815429826,13508021.608392956
26,12914911.018276008,578250.9652298767,13508021.608392956
27,12825575.229509633,683937.4327488678,13508021.608392956
28,12875691.814846933,503260.1844597733,13508021.608392956
29,12776734.995190587,884986.415353234,13508021.608392956
30,12754128.301718885,684429.6709006439,13508021.608392956
31,12388356.36982012,1250346.3361892358,13508021.608392956
32,12440787.555601995,1462949.7073731194,13508021.608392956
33,12828830.454251112,618836.6684267967,13508021.608392956
34,13064676.65187959,407167.7487363545,13508021.608392956
35,12802668.530562248,635602.8360813027,13508021.608392956
36,12355637.226330202,1132225.7979936274,13508021.608392956
37,12776511.073778473,693843.9713618088,13508021.608392956
38,12873170.577433933,753116.8173643518,13508021.608392956
39,12855810.812178725,1105068.5819188002,13510534.845303224
40,12953992.778965682,516135.24781631073,13550869.998138715
41,12813678.98221171,1204210.90994454,13550869.998138715
42,12693060.327377172,698662.4831510565,13550869.998138715
43,12749518.744245533,693398.4004286438,13550869.998138715
44,12784440.03265388,691578.5360573087,13550869.998138715
45,12649040.805284342,825982.6252184046,13550869.998138715
46,12470406.197193313,1204639.5344928738,13550869.998138715
47,12301236.045065165,1129995.595399439,13550869.998138715
48,12464144.87946476,870187.5836974148,13550869.998138715
49,12064507.515093753,1024932.8148382436,13550869.998138715
0,11605328.16769927,1489729.602709599,13207229.678667994
1,11909244.054252092,1575693.6248245232,13219860.490070548
2,12237228.085387645,1296454.1880354462,13219860.490070548
3,12420338.716123182,1028771.3817281151,13219860.490070548
4,12342450.599691195,897668.8521285141,13219860.490070548
5,12285901.402033912,1047698.8427175016,13219860.490070548
6,12642422.756485853,636160.6794750995,13327729.03951669
7,12796031.698348004,516378.58499332436,13327729.03951669
8,12541526.450469226,989140.8755767564,13327729.03951669
9,12687225.027569706,809142.4152348958,13331186.44792932
10,12117579.94889984,1187552.849059531,13331186.44792932
11,12509903.642833699,997590.4685209877,13429387.55604652
12,12738417.606237665,764676.8369685544,13429387.55604652
13,12744838.083750015,848352.0441725991,13429387.55604652
14,12726148.258781532,533747.9490441458,13429387.55604652
15,12804242.95824921,605603.753501131,13429387.55604652
16,12798974.601590287,555631.7865310452,13429387.55604652
17,12793095.039168365,891147.7584403671,13444188.59168262
18,12825341.651052013,747985.2270136019,13444188.59168262
19,12828420.560737085,816863.7820825955,13444188.59168262
20,12596418.55303698,1040065.9967858328,13444188.59168262
21,12706694.34081807,823238.0047361309,13447177.627562622
22,12725349.125775807,865603.3363107471,13447177.627562622
23,12655173.280159116,823394.1617548286,13447177.627562622
24,12826236.001404155,807012.4395936023,13484900.62615495
25,12693478.79973511,950250.2070229816,13484900.62615495
26,13034021.597549375,410514.54735591327,13484900.62615495
27,12845349.590795295,712636.5292770169,13484900.62615495
28,12478623.443772014,952213.5244186763,13484900.62615495
29,12760395.534084175,591640.5155269824,13484900.62615495
30,12696466.806271913,689309.300097423,13484900.62615495
31,12702648.88641714,791168.7569311819,13484900.62615495
32,12900985.340831665,387745.26905755326,13484900.62615495
33,12695074.267030478,766467.1984724441,13484900.62615495
34,12605114.068863414,1081305.6258706455,13484900.62615495
35,12798492.526706835,724618.0348089602,13484900.62615495
36,12811439.464302305,762052.1682736649,13484900.62615495
37,12761203.00820865,913522.8573872307,13487682.693954885
38,12922955.571275836,551514.1813659422,13487682.693954885
39,12946990.655254304,611612.3661943361,13487682.693954885
40,12773116.407814818,762488.0876414259,13487682.693954885
41,12764781.874642815,778984.6950478244,13487682.693954885
42,12695654.613762753,772497.7238031427,13487682.693954885
43,12646935.962733047,818989.2972126927,13487682.693954885
44,12748566.112939095,548010.6577707183,13487682.693954885
45,12692053.98350832,831193.8369253892,13487682.693954885
46,12758492.855396753,569604.3373114251,13508278.740665006
47,12882749.639328893,754651.2619534775,13508278.740665006
48,12934155.63978222,482692.1614946883,13508278.740665006
49,12794942.112738065,809856.06175492,13508278.740665006
0,10826169.491367513,1948379.4396966768,13057505.50576748
1,11937334.018656123,1148589.449498792,13149929.97074567
2,12416393.989366915,947092.0013733634,13149929.97074567
3,12583357.64213717,769418.9568466259,13224645.383020464
4,12515115.66481508,864897.306391344,13224645.383020464
5,12608453.124139668,653191.4499029537,13224645.383020464
6,12553676.69907211,620997.2611319061,13224645.383020464
7,12576765.13073248,854671.0090781085,13225642.074537568
8,12597694.680967558,778247.9570776031,13225642.074537568
9,12477042.306180298,661981.8255790768,13380687.772548554
10,12657497.0143538,790862.2842351878,13380687.772548554
11,12805368.11098368,504053.209266401,13380687.772548554
12,12592164.476986865,568094.823056454,13380687.772548554
13,12650239.38325058,661199.7313735577,13386286.449094186
14,12586744.504691087,815597.3377088244,13386286.449094186
15,12563631.271184525,714167.5549780262,13386286.449094186
16,12472603.743896253,839577.8459534801,13386286.449094186
17,12540156.833416006,655159.033327013,13386286.449094186
18,12637802.297810055,535411.5597537992,13386286.449094186
19,12701139.440693753,592160.7278540492,13386286.449094186
20,12561749.469414193,536292.3769151458,13386286.449094186
21,12589155.314631553,598029.2033702242,13386286.449094186
22,12515461.780818935,852326.6800386416,13386286.449094186
23,12696398.769805005,781157.0744656831,13386286.449094186
24,12712823.18813313,543664.4354252068,13386286.449094186
25,12846057.02287354,593615.2457941255,13386286.449094186
26,12678977.834825685,866127.2839997768,13435884.043332325
27,12639245.656118086,985498.876770761,13435884.043332325
28,12776296.473734455,905615.4165498952,13435884.043332325
29,12792453.257119425,581244.1637198997,13436985.85995225
30,12732653.801597338,725012.6551671117,13436985.85995225
31,12746153.707816733,724771.7214929174,13470433.312535718
32,12875769.244365254,642149.0737688483,13470433.312535718
33,13023264.938616682,470690.12022474565,13477589.355985465
34,12748565.61819627,757616.5754244388,13477589.355985465
35,12734803.744682144,1020200.6726669588,13477589.355985465
36,12491037.98651776,1403434.4420332375,13477589.355985465
37,12748501.300441772,687000.8139860672,13477589.355985465
38,12783451.82635932,749362.4775234363,13477589.355985465
39,12596127.19800518,771140.9654378614,13477589.355985465
40,12789528.57286184,1022802.8184943831,13478121.339290274
41,12885705.048695335,761178.6258762814,13478121.339290274
42,12561348.772098593,1031165.352720351,13478121.339290274
43,12545214.945352335,1047967.1208092158,13478121.339290274
44,12531389.235209486,1243117.0046855295,13542131.208746474
45,12768577.630846692,606234.1847006783,13542131.208746474
46,12834578.581502952,537925.4947898743,13542131.208746474
47,12637910.547041072,1044090.3349787984,13542131.208746474
48,12971764.467418276,513133.1788763858,13542131.208746474
